5819|2026-08-06|Precious Metals Miners Rotation|Auto-retired 2026-08-06: renamed to 'Precious Metals Equities Rally' by Arm B thesis merge (ADR 0025).
6192|2026-08-11|AI Chip Enablement: Test, Substrate & Photonic/Timing Component Suppliers|Auto-retired 2026-08-11: renamed to 'AI Chip & Interconnect Supply Chain Enablement' by Arm B thesis merge (ADR 0025).
6295|2026-08-12|Casual Dining & Full-Service Restaurant Chain Recovery|Auto-retired 2026-08-12: renamed to 'Restaurant Chain Recovery' by Arm B thesis merge (ADR 0025).
6297|2026-08-12|Industrial Process Equipment, Automation & Flow Control|Auto-retired 2026-08-12: renamed to 'Industrial Equipment & Flow Control – Capex Cycle Recovery' by Arm B thesis merge (ADR 0025).
7351|2026-08-21|AI-Native Diagnostics & Computational Medicine Re-Rating|Auto-retired 2026-08-21: renamed to 'AI-Driven Diagnostics & Imaging Re-Rating' by Arm B thesis merge (ADR 0025).
8009|2026-08-28|Oilfield Services & Equipment Providers|Auto-retired 2026-08-28: renamed to 'Energy Infrastructure & Utility Operators' — name was narrower than the cluster (#214) (prior stage Nascent, 20 tickers).
8010|2026-08-28|Oil Refining & Marketing|Auto-retired 2026-08-28: renamed to 'Oil & Gas Value Chain (Upstream, Midstream & Downstream)' — name was narrower than the cluster (#214) (prior stage Nascent, 45 tickers).
8259|2026-09-01|HBM & AI-Driven Memory Chip Makers|Auto-retired 2026-09-01: renamed to 'AI Chip & Memory Supply Chain Beneficiaries' by Arm B thesis merge (ADR 0025).
8382|2026-09-02|AI Chip & Memory Supply Chain Beneficiaries|Auto-retired 2026-09-02: renamed to 'AI-Driven Memory & Storage Supply Shortage' by Arm B thesis merge (ADR 0025).
8389|2026-09-02|Independent Oil Refining & Marketing|Auto-retired 2026-09-02: renamed to 'Global Crude Oil Price Leverage: E&P, Integrated & Tanker Shipping' — name was narrower than the cluster (#214) (prior stage Nascent, 34 tickers).
8687|2026-09-04|Pure-Play Agricultural Tractor & Farm Machinery Manufacturers|Auto-retired 2026-09-04: renamed to 'Global Agriculture Value Chain Recovery' — name was narrower than the cluster (#214) (prior stage Nascent, 10 tickers).
8690|2026-09-04|U.S. Downstream Refining & Marketing|Auto-retired 2026-09-04: renamed to 'Global Oil & Gas Upstream, Integrated & Transport Value Chain' — name was narrower than the cluster (#214) (prior stage Nascent, 39 tickers).
8947|2026-09-09|Property & Casualty Insurance Underwriters|Auto-retired 2026-09-09: renamed to 'Property & Casualty Insurance Underwriters (Broad Re-rating Cycle)' by Arm B thesis merge (ADR 0025).
8960|2026-09-09|Pure-Play Oil Refining & Marketing|Auto-retired 2026-09-09: renamed to 'Global Energy Production & Infrastructure' — name was narrower than the cluster (#214) (prior stage Nascent, 59 tickers).
9210|2026-09-11|European Bank Stocks|Auto-retired 2026-09-11: renamed to 'Global Bank Stocks: Rising-Rate NIM Expansion Play' by Arm B thesis merge (ADR 0025).
9212|2026-09-11|Coal Mining Relative Strength Breakout|Auto-retired 2026-09-11: renamed to 'Energy Supply Disruption: Middle East Geopolitical Risk' by Arm B thesis merge (ADR 0025).
9355|2026-09-14|Global Bank Stocks: Rising-Rate NIM Expansion Play|Auto-retired 2026-09-14: renamed to 'Bank Stocks: Rising-Rate NIM Expansion' by Arm B thesis merge (ADR 0025).
9365|2026-09-14|Oil Refining & Marketing|Auto-retired 2026-09-14: renamed to 'Oil & Gas Value Chain: Infrastructure, Refining & Services' — name was narrower than the cluster (#214) (prior stage Nascent, 27 tickers).
9627|2026-09-16|Consumer Fintech & Digital Credit Platforms|Auto-retired 2026-09-16: renamed to 'Fintech & Digital Finance Sector Re-rating on Fed Easing' by Arm B thesis merge (ADR 0025).
9636|2026-09-16|Renewable Diesel / Renewable Fuels Refiners|Auto-retired 2026-09-16: renamed to 'Energy Infrastructure & Services Complex' — name was narrower than the cluster (#214) (prior stage Nascent, 44 tickers).
9760|2026-09-17|Residential Rental REIT Basket (Apartment & Single-Family)|Auto-retired 2026-09-17: renamed to 'Residential Rental REITs (Rate-Cut Cap-Rate Play)' by Arm B thesis merge (ADR 0025).
9902|2026-09-18|Emerging Quantum Computing Software & Hardware Platforms|Auto-retired 2026-09-18: renamed to 'Emerging Quantum Computing Rally' by Arm B thesis merge (ADR 0025).
9904|2026-09-18|Gold & Precious Metals Miners Rotation|Auto-retired 2026-09-18: renamed to 'Precious Metals Miners Rotation' by Arm B thesis merge (ADR 0025).
9912|2026-09-18|Renewable Diesel & Renewable Fuels Refining|Auto-retired 2026-09-18: renamed to 'Oil & Gas Supply Chain: Production, Midstream & Refining' — name was narrower than the cluster (#214) (prior stage Nascent, 19 tickers).
